name,href
Киров,/kirovskaya-oblast/kirov
Кировская область,/kirovskaya-oblast
Когалым,/tyumen-region/kogalym
Коломна,/moskovskaya-oblast/kolomna
Коньково,/moskva/konkovo
Коптево,/moskva/koptevo
Котельники,/moskovskaya-oblast/kotelniki
Красногорск,/moskovskaya-oblast/krasnogorsk
Краснодар,/krasnodarskiy-kray/krasnodar
Краснодарский край,/krasnodarskiy-kray
Красносельский,/moskva/krasnoselskiy
Красноярск,/krasnoyarskiy-kray/krasnoyarsk
Красноярский край,/krasnoyarskiy-kray
Крылатское,/moskva/krylatskoye
Кулебаки,/shop/folder/kulebaki
Кунцево,/moskva/kuntsevo
Курган,/kurganskaya-oblast/kurgan
Курганская Область,/kurganskaya-oblast
Лангепас,/tyumen-region/langepas
Левобережный,/moskva/levoberezhnyy
Лесной,/moskovskaya-oblast/lesnoy
Лефортово,/moskva/lefortovo
Лобня,/moskovskaya-oblast/lobnya
Ломоносовский,/moskva/lomonosovskiy
Люберцы,/moskovskaya-oblast/lyubertsy
Люблино,/moskva/lyublino
Магнитогорск,/celyabinskaya-oblast/magnitogorsk
Марфино,/moskva/marfino
Марьина роща,/moskva/marina-roshcha
Марьино,/moskva/marino
Медведково Северное,/moskva/medvedkovo-severnoye
Мещанский,/moskva/meshchanskiy
Можайский,/moskva/mozhayskiy
Москва,/moskva
Москворечье-Сабурово,/moskva/moskvorechye-saburovo
Московская область,/moskovskaya-oblast
Мытищи,/moskovskaya-oblast/mytishchi
Нагатино-Садовники,/moskva/nagatino-sadovniki
Нагатинский затон,/moskva/nagatinskiy-zaton
Нагорный,/moskva/nagornyy
Надым,/tyumen-region/nadym
Нижегородская область,/nizhegorodskaya-oblast
Нижегородский,/moskva/nizhegorodskiy
Нижневартовск,/tyumen-region/nizhnevartovsk
Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod
Ново-Переделкино,/moskva/novo-peredelkino
Новогиреево,/moskva/novogireyevo
Новоивановское,/moskovskaya-oblast/novoivanovskoye
Новосибирск,/novosibirskaya-oblast/novosibirsk
Новосибирская область,/novosibirskaya-oblast
Новый Уренгой,/tyumen-region/novyy-urengoy
Ноябрьск,/tyumen-region/noyabrsk
Нягань,/tyumen-region/nyagan
Обручевский,/moskva/obruchevskiy
Омск,/omskaya-oblast/omsk
Омская область,/omskaya-oblast
Орехово-Борисово Южное,/moskva/orekhovo-borisovo-yuzhnoye
Останкинский,/moskva/ostankinskiy
Отрадное,/moskva/otradnoye
Очаково-Матвеевское,/moskva/ochakovo-matveyevskoye
Павлово,/shop/folder/pavlovo
Первомайск,/shop/folder/pervomaysk
Пермский край,/permskiy-kray
Пермь,/permskiy-kray/perm
Перово,/moskva/perovo
Печатники,/moskva/pechatniki
Подольск,/moskovskaya-oblast/podolsk
Покровское-Стрешнево,/moskva/pokrovskoye-streshnevo
Правдинский,/moskovskaya-oblast/pravdinskiy
Преображенское,/moskva/preobrazhenskoye
Пресненский,/moskva/presnenskiy
Приморский край,/primorskiy-kray
Проспект Вернадского,/moskva/prospekt-vernadskogo
Путилково,/moskovskaya-oblast/putilkovo
Пушкино,/moskovskaya-oblast/pushkino
Раздоры,/moskovskaya-oblast/razdory
Раменки,/moskva/ramenki
Республика Мордовия,/respublika-mordovia
Республика Татарстан,/respublika-tatarstan
Ростов-на-Дону,/rostovskaya-oblast/rostov-na-donu
Ростовская область,/rostovskaya-oblast
Ростокино,/moskva/rostokino
Рязанский,/moskva/ryazanskiy
Савеловский,/moskva/savelovskiy
Салехард,/tyumen-region/salekhard
Самара,/samarskaya-oblast/samara
Самарская область,/samarskaya-oblast
Саранск,/respublika-mordovia/saransk
Саратов,/saratovskaya-oblast/saratov
Саратовская область,/shop/folder/saratovskaya-oblast
Свердловская область,/sverdlovskaya-oblast
Свиблово,/moskva/sviblovo
Северный АО,/moskva/severnyy-ao
Северо-Восточный АО,/moskva/severo-vostochnyy-ao
Северо-Западный АО,/moskva/severo-zapadnyy-ao
Смоленск,/smolenskaya-oblast/smolensk
Смоленская область,/smolenskaya-oblast
Сокол,/moskva/sokol
Соколиная Гора,/moskva/sokolinaya-gora
Солнечногорск,/moskovskaya-oblast/solnechnogorsk
Солнцево,/moskva/solntsevo
Сочи,/krasnodarskiy-kray/sochi
Строгино,/moskva/strogino
Ступино,/moskovskaya-oblast/stupino
Сургут,/tyumen-region/surgut
Таганрог,/rostovskaya-oblast/taganrog
Таганский,/moskva/taganskiy
Тверская область,/tverskaya-oblast
Тверской,/moskva/tverskoy
Тверь,/tverskaya-oblast/tver
Текстильщики,/moskva/tekstilshchiki
Теплый Стан,/moskva/teplyy-stan
Тимирязевский,/moskva/timiryazevskiy
Тобольск,/tyumen-region/tobolsk
Тропарево-Никулино,/moskva/troparevo-nikulino
Тушино Южное,/moskva/tushino-yuzhnoye
Тюменская область,/tyumen-region
Тюмень,/tyumen-region/tyumen
Урай,/tyumen-region/uray
Урюпинск,/shop/folder/uryupinsk
Уфа,/bashkortostan/ufa
Фили-Давыдково,/moskva/fili-davydkovo
Хабаровск,/khabarovskiy-kray/khabarovsk
Хабаровский край,/khabarovskiy-kray
Хамовники,/moskva/khamovniki
Ханты-Мансийск,/tyumen-region/khanty-mansiysk
Химки,/moskovskaya-oblast/khimki
Хорошево-Мневники,/moskva/khoroshevo-mnevniki
Хорошевский,/moskva/khoroshevskiy
Царицыно,/moskva/tsaritsyno
Центральный АО,/moskva/tsentralnyy-ao
Чебоксары,/chuvashiya/cheboksary
Челябинск,/celyabinskaya-oblast/chelyabinsk
Челябинская область,/chelyabinskaya-oblast
Черемушки,/moskva/cheremushki
Чувашская Республика,/chuvashiya
Щелково,/moskovskaya-oblast/shchelkovo
Щукино,/moskva/shchukino
Энгельс,/saratovskaya-oblast/engels
Юго-Восточный АО,/moskva/yugo-vostochnyy-ao
Юго-Западный АО,/moskva/yugo-zapadnyy-ao
Южнопортовый,/moskva/yuzhnoportovyy
Южный АО,/moskva/yuzhnyy-ao
Юрлово,/moskovskaya-oblast/yurlovo
Ярославль,/yaroslavskaya-oblast/yaroslavl
Ярославская область,/yaroslavskaya-oblast
