id,name,unit,quantity,FOB_Price,dollar_avr,dollar_min,dollar_max,Tube_Chip_Color,Display_Function,Pixel_Pitch,Pixel_Configuration,Pixel_Density,Scanning_Mode,IP_Rating,Average_Power_Consumption,MOQ,Unit_Plate_Size,Physical_Density,Box_Resolution,Die_Casting_Aluminum_Weight,Best_Visual_Range,
12,Outdoor Full Color Curve P3.91 P4.81 Rental LED Display for Advertising Panel Screen (500*500mm),Piece,1 ,US $,220.0,180,260,Full Color,Video Display; Image & Text Display; Text Display; Market Display,4.81,SMD2727,43264,,IP 65,,,,,,,,
13,Outdoor P5 P4.81 P4 P3.91 P3 Rental LED TV Video Wall Displays for Advertising Display Screens Panel Sign Billoard Screen Modules,Square_Meter,1 ,US $,577.0,525,629,Full Color,Video Display,4.81,1R; 1G; 1B,,,IP65,550-1000 W/ M2,,,,,,,
14,Full Color SMD Indoor P2.5 P3 P4 P5 P6 LED Display Panel,Square_Meter,1 ,US $,1139.0,789,1489,Full Color,Video Display; Image & Text Display; Text Display; Market Display,2.5,1R;1G;1B,1600000,1/32 Scan,,,,,,,,,
17,500 X 500mm Video LED Display Panel Designed for The High Demands of The Outdoor Rental with Magnetic Modules for Easy Front Serviceable,Square_Meter,50 s,US $,900.0,600,1200,Full Color,Video Display; Image & Text Display; Text Display; Market Display,3.91,1R; 1G; 1B,,,IP65,350W / m²,,,,,,,
18,High Refresh Rate P2.6 / P2.9 / P3.91/P4.81 Indoor/Outdoor Rental LED Panel Screen/LED Display for Advertising,Square_Meter,1 ,US $,234.0,99,369,Full Color,Video Display,4.81,1R;1G;1B,43264,1/13,,,,,,,,,
19,Outdoor/Indoor Advertising LED Display Screen Panel Board Full Color Video Wall for Rental/Supermarket/Store (P3.91; P4.81; P5.95; P6.25),Square_Meter,1 ,US $,685.0,470,900,Full Color,Video Display; Image & Text Display; Text Display; Market Display,3.91,1R;1G;1B,65,1/16 Scan,,,,,,,,,
20,Ultra HD Indoor LED Video Wall; Full Color LED Display Panel with 16: 9 Front Accessed Board (P1.25; P1.56; P1.8 TV),Square_Meter,1 ,US $,6500.0,6000,7000,Full Color,Video Display,1.25,1R;1G;1B,640000,1/27 Scan,,,,,,,,,
21,Outdoor Full Color 8000 CD P10/P16/P20 LED Display Screen for Advertising Panel Sign,Piece,1 ,US $,397.0,358,436,Full Color,Video Display,10,1R; 1G; 1B,,,IP65,180W / m²,,,,,,,
22,IP65 Front Back P3.91 P4.81 P5.95 P6.25 Outdoor Indoor Advertising Video Panel Digital Full Color Rental LED Display Screen,Piece,1 ,US $,227.5,225,230,Full Color,Video Display; Image & Text Display; Text Display; Market Display,3.91,1R;1G;1B,43402,1/13scan,,,,,,,,,
23,China Factory Super Light Outdoor Indoor Display Screen / Video LED Display for Stage Rental (500X500mm 500X1000mm Panel),Piece,1 ,US $,250.0,200,300,Full Color,Video Display,4.81,1R;1G;1B,43264,1/ 13 Scan,,,,,,,,,
24,HD P6 Rental Outdoor LED Display Panel for Advertising Stage Video Wall,Piece,1 ,US $,335.0,220,450,Full Color,Video Display; Image & Text Display; Text Display; Market Display,6,SMD3535,,,IP65/IP54,400W/M2,,,,,,,
25,Intelligent Street Light Pole LED Display Panel,Square_Meter,1 ,US $,464.19,157.78,770.61,Full Color,Video Display; Image & Text Display; Text Display; Market Display,5.95,2R; 1G; 1B,,,IP43,220W / m²,,,,,,,
26,Outdoor/Indoor Advertising Full Color LED Display Screen Panel Board (P3&P3.3&P4&P5&P6&P8&P10 Module),Square_Meter,1 ,US $,475.0,350,600,Full Color,Video Display; Image & Text Display; Text Display; Market Display,10,1R; 1G; 1B,,,IP65,350W / m²,,,,,,,
27,Outdoor High Brightness LED Display Panel (P16 Advertising LED Display Screen),Square_Meter,1 ,US $,476.5,418,535,Full Color,Video Display,16,1R; 1G; 1B,,,IP65,220W / m²,,,,,,,
28,Front Access Double Sided P5/P6/P8/P10/P16 Advertising Billboard Screen Panel Full Color LED Sign Display,Piece,1 ,US $,424.5,150,699,Full Color,Video Display; Image & Text Display; Text Display; Market Display,,1R; 1G; 1B,,,IP65,350W / m²,,,,,,,
29,Outdoor Full Color P8 Fixed Installation LED Display for Advertising Screen Panel,Square_Meter,1 ,US $,2319.0,438,4200,Full Color,Video Display; Image & Text Display; Text Display; Market Display; Full Color LED Display,8,1R; 1G; 1B,,,IP65,350W / m²,,,,,,,
30,P3 P2 P2.5 P1.9 P1.875 Indoor LED Display Panel for Advertising Display Screen,Piece,1 ,US $,325.5,229,422,Full Color,Video Display; Image & Text Display; Text Display; Market Display,3,1R;1G;1B,111111,1/32s,,,,,,,,,
