name,href
Ramenki,/moskva/ramenki
Respublika Mordovija,/respublika-mordovia
Respublika Tatarstan,/respublika-tatarstan
Rostov-na-Donu,/rostovskaya-oblast/rostov-na-donu
Rostovskaja oblast',/rostovskaya-oblast
Rostokino,/moskva/rostokino
Rjazanskij,/moskva/ryazanskiy
Savelovskij,/moskva/savelovskiy
Salehard,/tyumen-region/salekhard
Samara,/samarskaya-oblast/samara
Samarskaja oblast',/samarskaya-oblast
Saransk,/respublika-mordovia/saransk
Saratov,/saratovskaya-oblast/saratov
Saratovskaja oblast',/shop/folder/saratovskaya-oblast
Sverdlovskaja oblast',/sverdlovskaya-oblast
Sviblovo,/moskva/sviblovo
Severnyj AO,/moskva/severnyy-ao
Severo-Vostochnyj AO,/moskva/severo-vostochnyy-ao
Severo-Zapadnyj AO,/moskva/severo-zapadnyy-ao
Smolensk,/smolenskaya-oblast/smolensk
Smolenskaja oblast',/smolenskaya-oblast
Sokol,/moskva/sokol
Sokolinaja Gora,/moskva/sokolinaya-gora
Solnechnogorsk,/moskovskaya-oblast/solnechnogorsk
Solntsevo,/moskva/solntsevo
Sochi,/krasnodarskiy-kray/sochi
Strogino,/moskva/strogino
Stupino,/moskovskaya-oblast/stupino
Surgut,/tyumen-region/surgut
Taganrog,/rostovskaya-oblast/taganrog
Taganskij,/moskva/taganskiy
Tverskaja oblast',/tverskaya-oblast
Tverskoj,/moskva/tverskoy
Tver',/tverskaya-oblast/tver
Tekstil'schiki,/moskva/tekstilshchiki
Teplyj Stan,/moskva/teplyy-stan
Timirjazevskij,/moskva/timiryazevskiy
Tobol'sk,/tyumen-region/tobolsk
Troparevo-Nikulino,/moskva/troparevo-nikulino
Tushino Juzhnoe,/moskva/tushino-yuzhnoye
Tjumenskaja oblast',/tyumen-region
Tjumen',/tyumen-region/tyumen
Uraj,/tyumen-region/uray
Urjupinsk,/shop/folder/uryupinsk
Ufa,/bashkortostan/ufa
Fili-Davydkovo,/moskva/fili-davydkovo
Habarovsk,/khabarovskiy-kray/khabarovsk
Habarovskij kraj,/khabarovskiy-kray
Hamovniki,/moskva/khamovniki
Hanty-Mansijsk,/tyumen-region/khanty-mansiysk
Himki,/moskovskaya-oblast/khimki
Horoshevo-Mnevniki,/moskva/khoroshevo-mnevniki
Horoshevskij,/moskva/khoroshevskiy
Tsaritsyno,/moskva/tsaritsyno
Tsentral'nyj AO,/moskva/tsentralnyy-ao
Cheboksary,/chuvashiya/cheboksary
Cheljabinsk,/celyabinskaya-oblast/chelyabinsk
Cheljabinskaja oblast',/chelyabinskaya-oblast
Cheremushki,/moskva/cheremushki
Chuvashskaja Respublika,/chuvashiya
Schelkovo,/moskovskaya-oblast/shchelkovo
Schukino,/moskva/shchukino
Engel's,/saratovskaya-oblast/engels
Jugo-Vostochnyj AO,/moskva/yugo-vostochnyy-ao
Jugo-Zapadnyj AO,/moskva/yugo-zapadnyy-ao
Juzhnoportovyj,/moskva/yuzhnoportovyy
Juzhnyj AO,/moskva/yuzhnyy-ao
Jurlovo,/moskovskaya-oblast/yurlovo
Jaroslavl',/yaroslavskaya-oblast/yaroslavl
Jaroslavskaja oblast',/yaroslavskaya-oblast
