meter,price_sec
30006,18.93
30006,15.78
30006,18.93
30006,18.93
30006,13.88
30006,18.93
30006,13.25
30006,13.25
30006,17.67
30006,22.09
30006,22.09
30006,18.93
30006,18.93
30006,18.93
30006,18.93
30006,18.93
30006,17.67
30006,18.93
30006,18.93
30006,18.93
30006,22.09
30006,15.14
30006,18.93
30006,15.78
30006,18.93
30006,22.09
30006,13.25
30006,15.78
30006,15.78
30006,15.14
30006,15.14
30006,18.93
30006,17.67
30006,18.93
30006,13.25
30006,15.78
30006,15.78
30006,15.78
30006,15.78
30006,3.57
30006,3.57
30006,1.52
30006,1.74
30006,10.8
30006,10.8
30006,11.68
30006,10.58
30006,11.68
30006,11.68
30006,11.68
30006,10.58
30006,11.68
30006,12.77
30006,12.77
30006,11.68
30006,11.68
30006,11.68
30006,11.68
30006,10.58
30006,12.77
30006,11.68
30006,12.77
30006,11.68
30006,12.77
30006,11.68
30006,12.99
30006,13.43
30006,13.42
30006,13.42
30006,13.42
30006,12.99
30006,12.99
30006,13.42
30006,12.77
30006,13.42
30006,12.77
30006,9.49
30006,11.68
30006,11.24
30006,11.68
30006,11.68
30006,13.42
30006,11.68
30006,12.77
30006,12.99
30006,11.68
30006,13.42
30006,12.77
30006,9.49
30006,13.85
30006,13.42
30006,3.32
30006,3.11
30006,1.24
30006,1.33
30006,1.33
30006,1.33
30006,1.33
30006,1.33
30006,1.33
30006,1.33
30006,1.33
30006,1.33
30006,1.33
30006,1.33
30006,1.33
30006,1.33
30006,6.58
30006,6.58
30006,6.58
30006,6.58
30006,6.58
30006,6.58
30006,6.58
30006,6.58
30006,6.58
30006,6.58
30006,6.58
30006,4.62
30006,7.22
30006,1.14
30006,1.14
30006,1.14
30006,1.14
30006,1.14
30006,15
30006,1.19
30006,1.19
30006,1.19
30006,1.19
30006,1.19
30006,1.19
30006,1.19
30006,1.19
30006,1.19
30006,1.3
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.38
30006,1.65
30006,1.44
30007,10.52
30009,3.22
40002,3.79
40002,3.79
40002,2.11
40002,5.06
40002,2.11
40003,3.24
40003,4.25
40003,4.25
40003,4.25
40003,4.25
40003,4.25
40003,4.25
40003,4.25
40003,4.25
40003,4.71
40003,5.19
40003,5.19
40005,5.54
40005,5.71
40005,15
40005,15
40005,15
40006,1.52
40006,2.53
40006,1.52
40006,10.58
40006,9.51
40006,9.98
40006,15
40007,3.3
40008,4.05
40008,20.83
40008,20.83
50003,7.45
50003,5.06
50004,4.6
50004,4.13
50004,4.13
50004,5.19
50006,5.71
50006,10.58
50006,3.45
50007,10.25
50007,10.25
50008,3.78
50008,12.37
50008,5.18
50008,6.23
50008,3.47
50009,4.05
60003,4.1
60003,1.17
60003,11.36
60003,10
60003,2.05
60003,2.05
60003,4.57
60003,4.57
60003,4.57
60003,4.57
60003,4.57
60003,9.8
60003,3.43
60003,7.21
60003,7.21
60003,7.21
60003,5.19
60003,5.19
60003,3.2
60004,4.4
60004,2.05
60004,4.24
60004,3
60004,11.07
60004,5.57
60004,5.24
60004,4.57
60004,5.29
60004,5.78
60004,3.09
60004,5.19
60004,5.19
60008,8.53
60008,5.18
60008,5.18
60008,5.18
60008,5.18
60008,9.98
60008,9.51
60008,4.96
60008,4.2
60008,8.68
60009,20.72
60009,11.23
70005,7.6
70005,7.6
70008,2.66
70008,4.89
70008,4.89
70008,4.89
70008,4.89
80004,9.54
80004,4.69
80004,6.53
80005,4.98
80006,9.3
80006,5.26
80006,1.59
80006,1.59
80006,5.19
80006,5.19
90005,4.57
90005,12.66
90006,6.51
90006,3.24
90006,7.6
90007,20.06
90007,5.19
100005,7.6
100005,5.19
100005,5.19
120004,4.86
120004,4.86
120004,6.94
120004,6.94
120004,4.47
120004,5.26
120004,10.11
120004,10.11
120005,15.03
300012,2.61
300012,1.92
300012,1.92
300012,1.92
300012,1.85
400012,2.61
400012,2.61
400012,16.5
400012,16.5
400012,24.17
400012,21.67
400012,16.5
400012,2.38
500010,4.01
500010,5.29
500012,4.08
500013,4.98
500015,3.33
500015,3.33
500015,3.33
500015,3.33
500015,3.33
500015,3.33
500015,3.33
500015,13.89
500015,13.89
500015,11.11
500015,6.05
500015,32.56
500015,26.78
500015,41.24
500015,41.24
500015,41.24
500015,41.24
500015,4.83
500015,4.23
500015,4.23
500015,3.62
500015,1.97
500015,14.31
500015,2.81
500015,2.81
500015,22.92
500015,22.92
500015,2.74
500015,2.73
600009,104.57
600010,1.66
600010,4.71
600012,8.16
600013,21.86
700015,5.71
700015,5.24
900012,8.16
900012,18.89
900012,18.89
